501,859
500,859
500,858
499,858
499,857
498,857
497,857
497,856
496,856
495,856
495,855
494,855
493,855
492,855
491,855
490,855
489,856
489,856
488,856
487,856
487,855
487,854
488,853
488,853
488,852
488,851
489,850
489,850
490,849
490,849
491,848
491,848
491,847
492,846
492,846
493,845
493,845
494,844
494,844
495,843
496,843
497,843
498,843
499,843
499,843
500,842
501,842
501,842
502,841
503,841
504,841
504,841
505,840
506,840
506,840
507,839
508,839
509,839
510,839
510,839
511,838
512,838
512,838
513,837
514,837
514,837
515,836
516,836
516,836
517,835
517,835
518,834
518,834
519,833
520,833
521,833
522,833
523,833
524,833
525,833
525,834
525,835
526,835
526,836
526,837
526,838
527,838
527,839
527,840
527,841
527,842
527,843
527,844
528,844
528,845
529,845
529,846
529,847
529,847
528,847
527,847
526,847
525,847
524,847
523,847
522,847
522,846
521,846
520,846
519,846
518,846
517,846
516,846
515,846
514,846
513,846
512,846
511,846
510,846
509,847
509,847
508,848
508,848
507,849
507,849
506,850
506,850
505,851
505,852
505,853
505,853
504,854
504,855
504,855
503,856
503,857
503,857
502,858
502,858
501,859
501,859
